Minister,Date or Date Started,Date Finished,Schedule Time,Type,Meeting,Location,With,Portfolio
Andrew Hoggard,5/29/2024,,6:00 PM - 7:30 PM,ATTEND,"  Speaker Invites New MPS to an IDNAD (Information, Discussion, Nibbles and Drinks)",Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,5/8/2024,,"5:30 PM - 7:30
PM",ATTEND, 2024 Europe Day Reception,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,5/28/2024,,"5:45 PM - 7:30
PM",ATTEND, 71st Everest Day at Parliament,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,10/4/2024,,12:00 PM - 4:00 PM,ATTEND, AgResearch Grasslands,Palmerston North,Attendees,Associate Environment
Andrew Hoggard,4/10/2024,,"12:00 PM -
1:30 PM",ATTEND, Agrizero Event,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,5/23/2024,,"4:30 PM - 6:30
PM",ATTEND," Announcement of the 2024 Freshwater
Champions Aotearoa New Zealand",Te Papa,Event Attendees,"Associate
Environment"
Andrew Hoggard,6/7/2024,,"1:45 PM -  2:40
PM",ATTEND, Avocado Orchard Visit,Te Puke,"NZ Avocado
Representatives",Biosecurity
Andrew Hoggard,6/14/2024,,"10:00 AM -
10:45 AM",ATTEND," Battle of the New Zealand Young
Farmer Grand Finalists",Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/13/2024,,"2:30 PM -  6:00
PM",ATTEND, Bi-Lateral Meeting with Chinese Delegation,Government House,"Multiple Ministers &
Chinese Delegation",Ministerial
Andrew Hoggard,7/24/2024,,"10:00 AM -
5:30 PM",ATTEND, Biodiversity Stewardship Pilot Trip,South Australia,Attendees,"Associate
Environment"
Andrew Hoggard,9/11/2024,,"7:00 AM - 8:30
AM",ATTEND," Breakfast with Minister Grigg, DairyNZ & Dairy
Companies Assoc of NZ",Wellington,Attendees,Food Safety
Andrew Hoggard,10/3/2024,,2:00 PM - 3:00 PM,ATTEND, Craigmore Sustainables,Canterbury,Attendees,Associate Environment
Andrew Hoggard,6/6/2024,,5:30 PM -  8:30 PM,ATTEND, Fed Farmers Meeting with other Farmers and Councils,Te Puke,Event Attendees,Associate Environment
Andrew Hoggard,6/12/2024,,"11:00 AM -
11:30 AM",ATTEND," Federated Farmers and Fieldays Rural
Advocacy Hub Opening",Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,10/11/2024,,"8:00 AM - 5:00
PM",ATTEND, Feilding Rural Day,Palmerston North,Attendees,Ministerial
Andrew Hoggard,7/24/2024,,"7:00 PM -
9:00 PM",ATTEND, FMM Ministers' Dinner,Adelaide,FMM Ministers,Food Safety
Andrew Hoggard,7/25/2024,,"9:30 AM - 1:30
AM",ATTEND, Food Ministers' Meeting,Adelaide,Food Ministers,Food Safety
Andrew Hoggard,9/18/2024,,"5:30 PM - 6:30
PM",ATTEND, FSANZ Stakeholder Event,Wellington,Attendees,Food Safety
Andrew Hoggard,9/10/2024,,"6:00 PM - 7:30
PM",ATTEND," Function to launch a Report commissioned by
Zespri and CMA CGM",Wellington,Attendees,"Associate
Environment"
Andrew Hoggard,6/13/2024,,"2:00 PM -  2:30
PM",ATTEND, Greeting of Chinese Delegation,Government House,"Multiple Ministers &
Chinese Delegation",Ministerial
Andrew Hoggard,5/24/2024,,"10:00 AM -
12:00 PM",ATTEND, Growing Future Farmers Farm Visit,Taihape,"Growing Future Farmers
Representatives",Associate Agriculture
Andrew Hoggard,10/9/2024,,12:00 PM - 2:00 PM,ATTEND, Heli Flight,Marlborough,Officials & DOC & John Oswald,Biosecurity
Andrew Hoggard,10/17/2024,,"5:45 PM - 6:30
PM",ATTEND, Horticulture NZ Graduation,Wellington,Attendees,"Associate
Agriculture"
Andrew Hoggard,10/17/2024,,"12:00 PM -
12:45 PM",ATTEND," Horticulture NZ Leadership Programme Q & A
Session",Wellington,Attendees,"Associate
Agriculture"
Andrew Hoggard,9/5/2024,,10:00 AM - 11:00 AM,ATTEND, Investiture Ceremony,Wellington,Attendees,Ministerial
Andrew Hoggard,5/3/2024,,"9:00 AM -
11:00 AM",ATTEND, Kaipara Moana Meeting,Auckland,Event Attendees,"Associate
Environment"
Andrew Hoggard,9/11/2024,,"6:15 PM - 7:15
PM",ATTEND, Kellogg Function,Wellington,Attendees,"Associate
Agriculture"
Andrew Hoggard,6/7/2024,,"10:00 AM -
10:50 AM",ATTEND, Kiwifruit Orchard Visit,Te Puke,"Kiwifruit Vine Health
Representatives",Biosecurity
Andrew Hoggard,6/7/2024,,"11:00 AM -
12:00 PM",ATTEND, Kiwifruit/ Avocado Packhouse Visit,Te Puke,"Kiwifruit Vine Health &
NZ Avocado Representatives",Biosecurity
Andrew Hoggard,6/12/2024,,"8:00 AM -  9:55
AM",ATTEND, KPMG Agribusiness Agenda Launch Breakfast,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/12/2024,,"10:15 AM -
10:45 AM",ATTEND, Launch of the Science for Farmers Site,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,8/1/2024,,"7:00 AM - 8:30
AM",ATTEND," Leadership Breakfast with leaders in biology
and chemistry innovation",Wellington,Attendees,Food Safety
Andrew Hoggard,10/3/2024,,3:30 PM - 4:30 PM,ATTEND, Lincoln University Dairy Farm,Canterbury,Attendees,Associate Environment
Andrew Hoggard,9/12/2024,,"12:30 PM -
1:45 PM",ATTEND," Manawatu Chamber of Commerce - Lunch
Meeting",Palmerston North,Event Attendees,Ministerial
Andrew Hoggard,9/12/2024,,"6:00 PM -
10:00 PM",ATTEND, Manawatu Club Dinner,Palmerston North,Event Attendees,Ministerial
Andrew Hoggard,10/14/2024,,"9:50 AM - 3:30
PM",ATTEND, Marlborough Marine Biosecurity Community,Marlborough,Event Attendees,Biosecurity
Andrew Hoggard,10/11/2024,,"6:00 PM - 9:30
PM",ATTEND," Massey Agriculture, Horticulture and
Environmental Science Awards",Palmerston North,Attendees,Ministerial
Andrew Hoggard,5/8/2024,,"8:00 PM - 8:45
PM",ATTEND, Ministerial Group,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,5/22/2024,,"6:30 PM - 7:30
PM",ATTEND, Ministerial Group,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,6/11/2024,,"11:00 AM -
11:45 AM",ATTEND, Ministerial Group Meeting,"Microsoft Teams
Meeting",Multiple Ministers,Ministerial
Andrew Hoggard,5/20/2024,,"1:30 PM - 3:00
PM",ATTEND, MPI Animal Health Lab,Wellington,MPI Officials,Biosecurity
Andrew Hoggard,6/13/2024,,"8:30 AM -  9:30
AM",ATTEND, MPI Event - SOPI 2024,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/14/2024,,"11:30 AM -
12:00 PM",ATTEND, MPI Science Hub,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,9/9/2024,,2:00 PM - 3:30 PM,ATTEND, MSD Animal Health Innovation Site,Wellington,MSD Animal Health Innovation Staff,Biosecurity
Andrew Hoggard,7/10/2024,,2:30 PM - 4:30 PM,ATTEND, Mt Cook Alpine Salmon Farm Visit,Twizel,Mt Cook Alpine Salmon Farm Representatives,Food Safety
Andrew Hoggard,6/12/2024,,"1:30 PM -  4:00
PM",ATTEND, Mystery Creek Fieldays,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/14/2024,,"8:00 AM -  9:30
AM",ATTEND, Mystery Creek Fieldays,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/14/2024,,"2:00 PM -  3:30
PM",ATTEND, Mystery Creek Fieldays,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/12/2024,,"7:10 AM -  7:55
AM",ATTEND," Mystery Creek Fieldays Official Opening
Ceremony",Mystery Creek,Event Attendess,"Associate
Agriculture"
Andrew Hoggard,9/17/2024,,"6:00 PM - 7:10
PM",ATTEND, National Day of Chile Reception,Wellington,Attendees,Ministerial
Andrew Hoggard,7/10/2024,,"8:15 AM -
10:00 AM",ATTEND, National Wallaby Eradication Programme,McKenzie District,Attendees,Biosecurity
Andrew Hoggard,9/25/2024,,"5:30 PM - 8:30
PM",ATTEND, New Zealand and NASA Function,Wellington,Attendees,Ministerial
Andrew Hoggard,5/11/2024,,"5:30 PM -
11:00 PM",ATTEND, NZ Dairy Industry Awards,Queenstown,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,7/30/2024,,"5:30 PM - 9:30
PM",ATTEND, NZ Pork Conference Dinner,Wellington,Dinner Attendees,"Associate
Agriculture"
Andrew Hoggard,6/13/2024,,"6:00 PM -  7:30
PM",ATTEND, Official Dinner with Chinese Deligation,Government House,"Multiple Ministers &
Chinese Delegation",Ministerial
Andrew Hoggard,7/3/2024,,"11:50 AM -
12:30 PM",ATTEND," Participate on Panel at Primary Industries
Summit- Genetic Modification",Wellington,Conference Attendees,Minister
Andrew Hoggard,7/2/2024,,"4:00 PM - 7:00
PM",ATTEND, PINZ Conference,Wellington,Conference Attendees,Minister
Andrew Hoggard,7/2/2024,,"7:00 PM -
10:00 PM",ATTEND, Primary Industry Awards Gala Dinner,Wellington,Dinner Attendees,Minister
Andrew Hoggard,6/12/2024,,"12:00 PM -
1:30 PM",ATTEND, Primary Leaders Luncheon,Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/21/2024,,"11:45 AM -
12:45 PM",ATTEND, Primary Production Estimates Hearing,Parliament Buildings,"Select Committee
Members",Biosecurity
Andrew Hoggard,6/21/2024,,"1:15 PM -
2:45 PM",ATTEND, Primary Production Estimates Hearing,Parliament Buildings,Select Committee Members,"Associate Agriculture & Food
Safety"
Andrew Hoggard,6/25/2024,,"6:00 PM -  7:30
PM",ATTEND, Saunders Unsworth Function,Wellington,Event Attendees,Ministerial
Andrew Hoggard,4/4/2024,,11:30 AM - 12:30 PM,ATTEND, Shed Meeting,Taranaki,Event Attendees,Ministerial
Andrew Hoggard,4/9/2024,,"6:00 PM - 7:30
PM",ATTEND, Speaker's Science Forum on Rāapa,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,10/3/2024,,9:30 AM - 12:00 PM,ATTEND, Sunpork,Canterbury,Attendees,Associate Agriculture
Andrew Hoggard,10/22/2024,,"5:30 PM - 7:15
PM",ATTEND, Sustainable Business Council,Wellington,Attendees,"Associate
Environment"
Andrew Hoggard,10/3/2024,,12:20 PM - 1:30 PM,ATTEND, Synlait - Tour of the Plant,Canterbury,Attendees,Food Safety
Andrew Hoggard,8/1/2024,,"10:30 AM -
12:00 PM",ATTEND," Te Arawa River Iwi-Crown Accord Ministerial
Forum",Wellington,Attendees,"Associate
Environment"
Andrew Hoggard,5/15/2024,,"11:00 AM -
12:00 PM",ATTEND, Te Whare Ra Winery,Marlborough,"NZWC Vineyards
Representatives",Biosecurity
Andrew Hoggard,5/10/2024,,"11:30 AM -
1:00 PM",ATTEND, Tutaenui Sub-Catchment Meeting,Marton,"Tutaenui Sub- Catchment
Representatives",Associate Environment
Andrew Hoggard,6/21/2024,,"9:30 AM -
11:30 AM",ATTEND, Vote Environment Estimates Hearing,Parliament Buildings,"Select Committee
Members","Associate
Environment"
Andrew Hoggard,7/10/2024,,"10:15 AM -
11:00 AM",ATTEND, Wallaby Partnerships,McKenzie District,Attendees,Biosecurity
Andrew Hoggard,7/10/2024,,"11:00 AM -
12:15 PM",ATTEND," Wilding Conifer presentations and discussion
with partner agencies / groups",McKenzie District,Attendees,Biosecutiry
Andrew Hoggard,7/10/2024,,"12:45 PM -
1:45 PM",ATTEND, Wilding Conifer viewing,McKenzie District,Attendees,Biosecurity
Andrew Hoggard,10/9/2024,,2:00 PM - 3:30 PM,ATTEND, Wilding Pine Summit,Marlborough,Attendees,Biosecurity
Andrew Hoggard,7/10/2024,,"8:00 AM - 8:15
AM",ATTEND, Wilding Visit - ECAN Representatives,Twizel,ECAN Representatives,Biosecurity
Andrew Hoggard,4/22/2024,,"10:00 AM -
11:30 AM",ATTEND, Woolshed Meeting,Piopio,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,4/24/2024,,"2:15 PM - 3:45
PM",ATTEND, Woolshed Meeting,Fordell,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,5/10/2024,,"2:00 PM - 3:00
PM",ATTEND, Woolshed Meeting,Kiwitea,"Event Attendees & MP
Suze Redmayne","Associate
Agriculture"
Andrew Hoggard,4/22/2024,,"2:00 PM - 3:00
PM",ATTEND, Woolstore Meeting,Te Kuiti,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,4/8/2024,,5:30 PM - 9:30 PM,ATTEND & SPEECH, Biosecurity Awards,Parliament Buildings,Event Attendees,Biosecurity
Andrew Hoggard,9/18/2024,,"11:00 AM -
12:00 PM",ATTEND & SPEECH, FSANZ Board Meeting,Wellington,Attendees,Food Safethy
Andrew Hoggard,8/29/2024,,"6:00 PM - 9:30
PM",ATTEND & SPEECH," Horticulture New Zealand Gala Dinner
and Awards",Tauranga,Attendees,All
Andrew Hoggard,7/5/2024,,"11:15 AM -
12:45 PM",ATTEND & SPEECH, Land for Life Partnership,"Elsthorpe, Hawke's Bay",Attendees,"Associate
Environment"
Andrew Hoggard,9/24/2024,,"11:45 AM -
12:20 PM",ATTEND & SPEECH, QEII CONFERENCE,Wellington,Attendees,"Associate
Environment"
Andrew Hoggard,8/26/2024,,"2:00 PM - 3:15
PM",ATTEND & SPEECH,"ATTEND/SPEAK- Rural Leaders Global Food Security
Programme",Christchurch,Conference Attendees,"Associate
Environment"
Andrew Hoggard,5/8/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Commitee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,7/31/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Wellington,Multi Ministers,Minister
Andrew Hoggard,6/4/2024,,3:00 PM -  4:00 PM,CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,6/19/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,6/26/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,6/27/2024,,"9:30 AM -
10:00 AM",CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,5/1/2024,,9:00 AM - 10:30 AM,CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,5/2/2024,,9:30 AM - 10:00 AM,CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,5/22/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,5/23/2024,,"9:30 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,5/29/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,8/6/2024,,"12:00 PM -
12:30 PM",CABINET COMMITTEE, Cabinet Committee,Wellington,Committee Members,Ministerial
Andrew Hoggard,8/7/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Wellington,Committee Members,Ministerial
Andrew Hoggard,8/28/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Wellington,Committee Members,Ministerial
Andrew Hoggard,10/16/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Wellington,Ministers,Ministerial
Andrew Hoggard,10/23/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Wellington,Ministers,Ministerial
Andrew Hoggard,9/11/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Welington,Attendees,Ministerial
Andrew Hoggard,9/17/2024,,"12:00 PM -
12:30 PM",CABINET COMMITTEE, Cabinet Committee,Wellington,Attendees,Ministerial
Andrew Hoggard,9/18/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE, Cabinet Committee,Wellington,Attendees,Ministerial
Andrew Hoggard,9/25/2024,,"9:00 AM -
10:25 AM",CABINET COMMITTEE, Cabinet Committee,Wellington,Attendees,Ministerial
Andrew Hoggard,8/27/2024,,"12:00 PM -
12:30 PM",CABINET COMMITTEE, Cabinet Committee,Wellington,Attendees,Ministerial
Andrew Hoggard,10/15/2024,,"12:00 PM -
12:30 PM",CABINET COMMITTEE, Cabinet Committee,Wellington,Ministers,Ministerial
Andrew Hoggard,7/1/2024,,1:00 PM - 2:15 PM,CABINET COMMITTEE, Cabinet Committee,Online,Multi Ministers,Minister
Andrew Hoggard,4/9/2024,,"11:30 AM -
12:30 AM",CABINET COMMITTEE,Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,4/10/2024,,"9:00 AM -
10:30 AM",CABINET COMMITTEE,Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,4/22/2024,,"3:00 PM - 4:00
PM",CABINET COMMITTEE,Cabinet Committee,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,4/30/2024,,"4:00 PM - 4:30
PM",CABINET COMMITTEE,Cabinet Committee,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,7/16/2024,,"5:00 PM - 5:30
PM",CALL," with Assistant Minister Kearney,
Australia",Phone Call,"Assistant Minister
Kearney",Food Safety
Andrew Hoggard,10/21/2024,,"6:00 PM - 8:00
PM",EVENT, BBQ with Local Farmers,Southland,"Todd Stephenson MP,
Attendees","Associate
Agriculture"
Andrew Hoggard,9/16/2024,,"5:30 PM - 7:30
PM",EVENT, Meat Industry Association Function,Wellington,Attendees,Ministerial
Andrew Hoggard,7/1/2024,,4:00 PM - 4:30 PM,EXECUTIVE COUNCIL, Executive Council,Online,Multi Ministers,Minister
Andrew Hoggard,6/5/2024,,6:00 PM -  6:45 PM,MEDIA, 7 Days,Auckland,7 Days Representatives,Ministerial
Andrew Hoggard,6/12/2024,,"11:30 AM -
12:00 PM",MEDIA, Dominic George,Mystery Creek,Dominic George,Ministerial
Andrew Hoggard,6/26/2024,,"10:45 AM -
11:00 AM",MEDIA, Interview with Andy Thompson,Parliament Buildings,Andy Thompson,Ministerial
Andrew Hoggard,6/27/2024,,"12:10 PM -
12:25 PM",MEDIA, Interview with Bennedict Collins,Parliament Buildings,Bennedict Collins,Ministerial
Andrew Hoggard,8/5/2024,,"3:00 PM - 3:20
PM",MEDIA, Interview with Heather du Plessis-Allan,Wellington,"Heather du Plessis-
Asllan",Food Safety
Andrew Hoggard,10/9/2024,,"3:45 PM - 3:50
PM",MEDIA," Interview with Jo Grigg, REX Rural Exchange
Podcast",Blenheim,Jo Grigg,Biosecurity
Andrew Hoggard,6/26/2024,,"8:00 AM -  8:15
AM",MEDIA, Interview with Lucy Craymer,Parliament Buildings,Lucy Cramer,Ministerial
Andrew Hoggard,9/6/2024,,12:30 PM - 1:00 PM,MEDIA," Interview with Paul Brennan, Reality Check Radio",Phone,Paul Brennan,Environment
Andrew Hoggard,8/8/2024,,"10:05 AM -
10:20 AM",MEDIA, Interview with Sky News Australia,Wellington,Sky News Australia,Food Safety
Andrew Hoggard,7/29/2024,,"9:30 AM - 9:45
AM",MEDIA," Interview with Tom Pullar-Strecker, The Post",Wellington,Tom Pullar-Strecker,Food Safety
Andrew Hoggard,5/6/2024,,"5:05 PM - 5:15
PM",MEDIA, Leah Panapa,Parliament Buildings,Leah Panapa,Ministerial
Andrew Hoggard,8/6/2024,,"5:10 PM - 5:20
PM",MEDIA, Leah Panapa,Wellington,Leah Panapa,Fod Safety
Andrew Hoggard,4/18/2024,,"8:00 AM - 8:30
AM",MEDIA, Mediaworks Interview,Phone Call,Dominic George,Ministerial
Andrew Hoggard,4/29/2024,,"3:00 PM - 3:30
PM",MEDIA, NZ Herald,Phone Call,NZ Herald,"Associate
Agriculture"
Andrew Hoggard,8/6/2024,,"11:45 AM -
11:50 AM",MEDIA, Phone Interview Riely Kennedy - Newsdesk,Wellington,Riely Kennedy,All
Andrew Hoggard,8/9/2024,,"11:00 AM -
11:10 AM",MEDIA," Phone Interview with Dan Moskovitz, Chief
Reporter, Salient, Victoria University",Phone,Dan Moskovitz,Biosecurity
Andrew Hoggard,9/23/2024,,"10:05 AM -
10:15 AM",MEDIA," Phone Interview with Dom George, REX",Phone,Dom George,Biosecurity
Andrew Hoggard,9/19/2024,,"3:15 PM - 3:25
PM",MEDIA," Phone Interview with Eric Frickberg,
Interest.co.nz",Phone,Eric Frickberg,"Associate
Environment"
Andrew Hoggard,7/22/2024,,"6:35 PM - 6:45
PM",MEDIA, Phone interview with Heather du Plessis-Allan,Phone Call,"Heather du Plessis-
Allan",Food Safety
Andrew Hoggard,8/6/2024,,"11:40 AM -
11:45 AM",MEDIA, Phone Interview with Jamie McKay,Wellington,Jamie McKay,"Associate
Agriculture"
Andrew Hoggard,8/20/2024,,"5:30 PM - 5:40
PM",MEDIA," Phone Interview with Leah Panapa of The
Platform",Phone,Leah Panapa,"Associate
Agriculture"
Andrew Hoggard,8/9/2024,,"11:15 AM -
11:30 AM",MEDIA, Phone Interview with Lois Williams,Phone,Lois Williams,"Associate
Environment"
Andrew Hoggard,9/11/2024,,"10:45 AM -
11:15 AM",MEDIA, Phone Interview with Michael Laws,Phone,Michael Laws,"Associate
Agriculture"
Andrew Hoggard,8/21/2024,,"12:30 PM -
12:40 PM",MEDIA," Phone Interview with Michelle Duff, The
Guardian",Phone,Michelle Duff,Biosecurity
Andrew Hoggard,9/27/2024,,"1:30 PM - 1:40
PM",MEDIA, Phone Interview with RNZ,Phone,Interview,"Associate
Agriculture"
Andrew Hoggard,5/20/2024,,"4:00 PM - 4:15
PM",MEDIA, Platform Interview,Parliament Buildings,Platform,Ministerial
Andrew Hoggard,4/11/2024,,"3:30 PM - 4:00
PM",MEDIA, Radio NZ,Parliament Buildings,Giles Dexter,Ministerial
Andrew Hoggard,4/10/2024,,"3:00 PM - 3:15
PM",MEDIA, RNZ,Phone,Sally Murphey,"Associate
Agriculture"
Andrew Hoggard,6/14/2024,,"11:00 AM -
11:30 AM",MEDIA, Rural & Dairy News Editor,Mystery Creek,Sudesh Kissun,Ministerial
Andrew Hoggard,4/15/2024,,"3:00 PM - 3:30
PM",MEDIA, Rural Round Up,Phone Call,Andy Thompson,Ministerial
Andrew Hoggard,6/14/2024,,"12:45 PM -
1:15 PM",MEDIA, Rural Round Up,Mystery Creek,Andy Thompson,"Associate
Agriculture"
Andrew Hoggard,8/21/2024,,"12:00 PM -
12:15 PM",MEDIA," TEAMS interview with Tamara Hooper, Farm
Weekly, Perth",Video Conference,Tamara Hooper,"Associate
Agriculture"
Andrew Hoggard,6/20/2024,,"7:00 AM -  7:10
AM",MEDIA, The Platform,Parliament Buildings,Sean Plunkett,Ministerial
Andrew Hoggard,6/19/2024,,"1:30 PM -  1:40
PM",MEDIA, TV One,Parliament Buildings,TV One Representative,Biosecurity
Andrew Hoggard,10/17/2024,,"4:10 PM - 4:40
PM",MEDIA, Zoom with Farmer Time,Videoconference,Attendees,Ministerial
Andrew Hoggard,5/24/2024,,"1:00 PM - 1:45
PM",MEET,  Otiwhiti Station Representative,Hunterville,Charles Duncan,"Associate
Agriculture"
Andrew Hoggard,5/27/2024,,"2:30 PM - 3:00
PM",MEET, Agribusiness Global Head,Parliament Buildings,Ian Proudfoot,"Associate
Agriculture"
