Minister,Date or Date Started,Date Finished,Schedule Time,Type,Meeting,Location,With,Portfolio
Andrew Hoggard,4/12/2024,,"11:00 AM -
11:30 AM",MEET," All Mayors, and CEs from Rural and Provincial
from around NZ",Wellington,Multiple Mayors & CEs,"Associate
Environment"
Andrew Hoggard,7/25/2024,,2:00 PM - 3:30 PM,MEET," Andrew Steele, Drector - Retail, Food &
Beverages, GS1 & Jenny Keegan, Head of Retail & Product Portfolio Delivery, Woolworths",Adelaide,Andrew Steel & Jenny Keegan,Food Safety
Andrew Hoggard,10/15/2024,,"8:30 AM - 9:00
AM",MEET, Aotearoa Circle,Wellington,"Aotearoa Circle (Vicki
Watson, CEO)",Biosecurity
Andrew Hoggard,5/9/2024,,"10:00 AM -
10:30 AM",MEET, Associate Agriculture Officials,Parliament Buildings,MPI Officials,"Associate
Agriculture"
Andrew Hoggard,10/15/2024,,5:30 PM - 6:00 PM,MEET, Australia and New Zealand Beverage Council,Wellington,"Co-Chair NZ Beverages Council & Head of Corporate Affairs Australian Beverages
Council",Food Safety
Andrew Hoggard,4/4/2024,,1:00 PM - 2:30 PM,MEET, Ballance Representatives,Kapuni,Ballance Representatives,Associate Environment
Andrew Hoggard,6/6/2024,,3:30 PM -  4:30 PM,MEET, Bay of Plenty Regional Council,Papamoa,Event Attendees,Associate Environment
Andrew Hoggard,5/30/2024,,"11:10 AM -
11:40 AM",MEET, Beef & Lamb NZ Representatives,Parliament Buildings,"Beef & Lamb NZ
Representatives","Associate
Environment"
Andrew Hoggard,6/19/2024,,"10:45 AM -
11:15 AM",MEET, Bioecurity Officials,Parliament Buildings,MPI Officials,Biosecurity
Andrew Hoggard,6/6/2024,,9:30 AM - 10:45 AM,MEET, BOP Regional Council,Bay of Plenty,Event Attendees,Associate Environment
Andrew Hoggard,6/6/2024,,11:00 AM - 11:30 AM,MEET, BOP Regional Council,Bay of Plenty,Event Attendees,Associate Environment
Andrew Hoggard,6/6/2024,,8:00 AM -  9:15 AM,MEET, BOP Regional Council - Waihi Estuary,Bay of Plenty,Event Attendees,Associate Environment
Andrew Hoggard,5/29/2024,,"5:30 PM - 6:00
PM",MEET, CH4 Global CEO,Parliament Buildings,Steve Mellor,Food Safety
Andrew Hoggard,10/29/2024,,"12:00 PM -
1:00 PM",MEET, Charlie Duncan,Palmerston North,"Charlie Duncan,
Officials","Associate
Agriculture"
Andrew Hoggard,6/21/2024,,"1:00 PM -  2:00
PM",MEET, Co-Chair of Caulerpa Advisory Group,Auckland,Nicola MacDonald,Biosecurity
Andrew Hoggard,5/15/2024,,"10:00 AM -
10:50 AM",MEET, Constellation Vineyard,Marlborough,"NZWC Vineyards
Representatives",Biosecurity
Andrew Hoggard,5/28/2024,,5:15 PM - 6:30 PM,MEET," Crown-Iwi Accord with Tūwharetoa Māori
Trust Board w/ Multiple Ministers",Parliament Buildings,"Crown-Iwi Accord, Tūwharetoa Māori Trust Board & Multiple
Ministers",Associate Environment
Andrew Hoggard,9/10/2024,,6:30 AM - 7:30 AM,MEET, Dairy NZ Board Members,Wellington,"Tracey Brown, Jim Van der Poel & Chris Lewis",Biosecurity
Andrew Hoggard,5/31/2024,,"11:00 AM -
11:30 AM",MEET, Danone Representatives,"Microsoft Teams
Meeting","Maria Venetoulis &
Melanie Pauga",Food Safety
Andrew Hoggard,6/27/2024,,"7:00 AM -  8:00
AM",MEET, Dr William Rolleston,Wellington,Dr William Roleston,Ministerial
Andrew Hoggard,5/22/2024,,"4:45 PM - 5:15
PM",MEET, Edwin Perry,Parliament Buildings,Edwin Perry,"Associate
Agriculture"
Andrew Hoggard,7/31/2024,,"4:45 PM - 5:05
PM",MEET, Environment,Wellington,Officials,"Associate
Environment"
Andrew Hoggard,5/27/2024,,"4:00 PM - 4:30
PM",MEET," Environment Southland Chair and Chief
Executive",Parliament Buildings,"Nicol Horrell & Wilma
Falconer","Associate
Environment"
Andrew Hoggard,4/11/2024,,"10:00 AM -
10:30 AM",MEET," Environmental Defence Society Chief
Operating Officer","Microsoft Teams
Meeting",Shay Schlaepfer,"Associate
Environment"
Andrew Hoggard,9/10/2024,,"12:15 PM -
1:00 PM",MEET," Executive Committee Meeting - Dairy
Companies Association of New Zealand",Wellington,Attendees,"Food Safety/
Biosecurity"
Andrew Hoggard,4/26/2024,,4:00 PM - 4:30 PM,MEET, Federated Farmers Vice President & Southland FF Board Members,Microsoft Teams Meeting,"Colin Hurst &
Southland FF Board Members",Associate Environment
Andrew Hoggard,10/23/2024,,"12:00 PM -
12:30 PM",MEET, First Fresh NZ Ltd and Dana Kirkpatrick MP,Wellington,"Grant Walsh (CEO, First Fresh NZ) & Dana
Kirkpatrick MP",Biosecurity
Andrew Hoggard,4/29/2024,,"1:00 PM - 1:30
PM",MEET, Food & Fibre CoVE General Manager & Chair,Parliament Buildings,"Paul Hollings &
William Beetham","Associate
Agriculture"
Andrew Hoggard,8/8/2024,,"11:30 AM -
12:00 PM",MEET," Forest Owners Association - Elizabeth Heeg,
CEO, Brendan Gould, Bio Manager & John Simmons, Bio Committee Chair",Wellington,Forest Owners Association & Officials,Biosecurity
Andrew Hoggard,9/17/2024,,"4:45 PM - 5:15
PM",MEET, FSANZ Board NZ Representatives,Wellington,Attendees,Food Safety
Andrew Hoggard,7/2/2024,,12:00 PM - 12:30 PM,MEET," Glen Neal & Jo Wills, LENZ",Wellington,"Glen Neal & Jo Wills, LENZ",Associate Agriculture
Andrew Hoggard,5/24/2024,,"2:30 PM - 4:00
PM",MEET, Greg Cuttance,Manawatu,Greg Cuttance,Biosecurity
Andrew Hoggard,5/9/2024,,4:00 PM - 4:45 PM,MEET, Groundswell Representatives & Mark Cameron,Parliament Buildings,"Groundswell Representatives &
Mark Cameron",Associate Environment
Andrew Hoggard,4/30/2024,,5:30 PM - 6:00 PM,MEET, Growing Future Farmers Representatives & Minister Patterson,Parliament Buildings,"Growing Future
Farmers  & Minister Patterson",Associate Agriculture
Andrew Hoggard,9/23/2024,,2:30 PM - 3:00 PM,MEET," GS1 NZ (Peter Stephens, CEO)",Wellington,"GS1 NZ (Peter
Stephens, CEO), Officials",Food Safetty
Andrew Hoggard,10/16/2024,,"3:15 PM - 3:45
PM",MEET," Helen Anderson, OSPRI",Wellington,Helen Anderson (OSPR),Biosecurity
Andrew Hoggard,6/24/2024,,4:00 PM -  4:30 PM,MEET," Helen Beattie, Dr Lynn Simpson & Dr John Hellström",Parliament Buildings,"Helen Beattie, Dr Lynn
Simpson & Dr John Hellström",Associate Agriculture
Andrew Hoggard,5/2/2024,,10:30 AM - 10:55 AM,MEET, HelloFresh ANZ CEO & Country Manager,Parliament Buildings,Tom Routledge & Claudia BaptistaFernandes,Food Safety
Andrew Hoggard,6/24/2024,,"2:00 PM -  2:45
PM",MEET," Hon Chris Bishop, Hon Penny Simmonds & Hon
Simon Watts",Parliament Buildings,Multiple Ministers,"Associate
Environment"
Andrew Hoggard,5/2/2024,,7:30 AM - 8:30 AM,MEET," Hon Chris Penk, Hon Mark Patterson & Hon Tama Potaka & Victoria University Proffessor",Parliament Buildings,"Multi Ministers, MPs, Victoria University Professor & Officials",Associate Agriculture
Andrew Hoggard,7/23/2024,,"4:30 PM - 5:00
PM",MEET," Hon Christopher Picton, Minister for Health &
Wellbeing, South Australia",Adelaide,Minister Picton,Food Safety
Andrew Hoggard,7/26/2024,,"10:00 AM -
10:30 AM",MEET," Hon Clare Scriven MLC, Minister for Primary Industries and Regional Development Minister for
Forest Industries",Adelaide,Hon Clare Scriven MLC,Food Safety
Andrew Hoggard,6/25/2024,,"8:00 PM -  8:30
PM",MEET, Hon David Seymour & Hon Penny Simmonds,Parliament Buildings,"Multiple Ministers,
Advisors & Officials",Food Safety
Andrew Hoggard,6/10/2024,,"3:00 PM -  3:30
PM",MEET," Hon David Seymour, Advisors & Officials","Microsoft Teams
Meeting","Hon David Seymour,
Advisors & Officials",Food Safety
Andrew Hoggard,5/2/2024,,4:15 PM - 4:45 PM,MEET, Hon Ged Kearney,Video Conference,Hon Ged Kearney,Food Safety
Andrew Hoggard,7/25/2024,,7:30 AM - 8:30 AM,MEET," Hon Ged Kearney MP, Assistant Minister for
Health & Aged Care and Chair of the Food Ministers' Meeting",Adelaide,Assistant Minister Kearney,Food Safety
Andrew Hoggard,5/20/2024,,"4:30 PM - 5:00
PM",MEET, Hon Penny Simmonds & Hon Mark Patterson,Parliament Buildings,"Multiple Ministers &
Officials",Food Safety
Andrew Hoggard,5/21/2024,,"8:45 AM - 9:00
AM",MEET, Hon Todd McClay,Parliament Buildings,"Hon Todd McClay &
Officials","Associate
Environment"
Andrew Hoggard,5/21/2024,,9:00 AM - 9:30 AM,MEET, Hon Todd McClay & Hon Mark Patterson,Parliament Buildings,"Hon Todd McClay, Hon Mark Patterson &
Officials",Associate Environment
Andrew Hoggard,5/28/2024,,9:00 AM - 9:30 AM,MEET, Hon Todd McClay & Hon Mark Patterson,Parliament Buildings,"Hon Todd McClay, Hon
Mark Patterson & Officials",Associate Agriculture
Andrew Hoggard,6/25/2024,,"8:30 AM -  9:00
AM",MEET, HORTUS Representatives,Parliament Buildings,Aaron Jay & Tahu Huntly,"Associate
Agriculture"
Andrew Hoggard,8/28/2024,,"11:30 AM -
12:00 PM",MEET," HUHA- Carolyn Press-McKenzie & Bronwyn
Green",Wellington,"Huha Attendees &
Officials","Associate
Agriculture"
Andrew Hoggard,6/27/2024,,3:30 PM -  4:15 PM,MEET, Independent Chair of the review into the  National Pest Management Plan for Bovine Tuberculosis,Parliament Buildings,Helen Anderson,Biosecurity
Andrew Hoggard,8/8/2024,,"4:00 PM - 4:30
PM",MEET," Malcolm Ellis, Fonterra",Wellington,"Malcolm Ellis &
Officials",All
Andrew Hoggard,5/13/2024,,"11:00 AM -
12:00 PM",MEET," Margaret Kouvelis, James Nixon & Kain Nixon",Awahuri,"Margaret Kouvelis, James Nixon & Kain
Nixon",Associate Agriculture
Andrew Hoggard,7/22/2024,,"9:30 AM -
10:00 AM",MEET," Mark Wynne, Chairman, Alliance Group",Wellington,Mark Wynne,"Associate
Agriculture"
Andrew Hoggard,7/29/2024,,"2:00 PM - 2:30
PM",MEET," Matt Dolan, CEO & Marie Taylor, Board Chair,
NZPPI",Wellington,"Matt Dolan & Marie
Taylor",Biosecurity
Andrew Hoggard,8/29/2024,,"10:30 AM -
11:15 AM",MEET," Matthew Stone, NAWAC",Wellington,"Matthew Stone &
Officials","Associate
Agriculture"
Andrew Hoggard,6/11/2024,,"9:30 AM -
10:00 AM",MEET, MFAT Representative,"Microsoft Teams
Meeting",MFAT Official,Ministerial
Andrew Hoggard,10/24/2024,,"11:45 AM -
12:15 PM",MEET," Michelle Sands, GM Strategy & Policy and Kate Scott, CE Horticuture NZ",Wellington,"GM Strategy & Policy and Kate Scott (CE,
Horticulture NZ)",Associate Environment
Andrew Hoggard,4/30/2024,,"5:00 PM - 5:15
PM",MEET, Mike Butterick MP,Parliament Buildings,Mike Butterick,Ministerial
Andrew Hoggard,4/2/2024,,5:30 PM - 6:15 PM,MEET," Minister Bishop, Minister Simmonds & Minister McClay",Teams Meeting,"Multiple Ministers, Advisors & Officials",Associate Environment
Andrew Hoggard,10/22/2024,,"8:30 PM - 9:00
PM",MEET, Minister Brown,Wellington,Minister Brown,Biosecurity
Andrew Hoggard,10/22/2024,,"12:00 PM -
12:30 PM",MEET, Minister Costello,Wellington,Minister Costello,Biosecurity
Andrew Hoggard,10/25/2024,,"10:00 AM -
10:40 AM",MEET, Minister Luo Wen,Cromwell,"Minister Luo Wen (China), MPI Officials",Food Safety
Andrew Hoggard,8/29/2024,,"12:30 PM -
1:00 PM",MEET, Minister McClay,Wellington,"Minister McClay &
Officials",Food Safety
Andrew Hoggard,8/29/2024,,"12:00 PM -
12:30 PM",MEET, Minister McClay and Ngāti Kahungunu ki Wairarapa Tāmaki-nui-a-Rua Settlement Trust re Taratahi,Wellington,Minister McCLay & Ngāti Kahungunu ki Wairarapa Tāmaki-nui-a Rua Settlement Trust & Officials,Associate Agriculture
Andrew Hoggard,8/1/2024,,3:30 PM - 4:00 PM,MEET, Minister Patterson & Agricademy,Wellington,"Minister Patterson, Alister Shennan, CEO,
Agricademy",Associate Agriculture
Andrew Hoggard,9/11/2024,,3:15 PM - 3:45 PM,MEET, Minister Patterson & Rob Phillips,Wellington,Minister Patterson & Rob Phillips & Officials,Biosecurity
Andrew Hoggard,8/7/2024,,"4:30 PM - 5:00
PM",MEET," Minister Patterson, Minister Grigg & Advisor -
Minister McClay",Wellington,Ministers & Officials,"Associate
Agriculture"
Andrew Hoggard,9/10/2024,,4:45 PM - 5:45 PM,MEET," Minister Patterson, Simon Court & West Coast Mayors",Wellington,"Minister Patterson, Simon Court & West
Coast Mayors",Associate Environment
Andrew Hoggard,8/7/2024,,"8:00 AM - 8:30
AM",MEET, Minister Potaka,Wellington,"Minister Potaka &
Officials",Biosecurity
Andrew Hoggard,9/24/2024,,"5:00 PM - 5:30
PM",MEET, Minister Reti & Minister Potaka,Wellington,"Ministers Reti & Potaka
& Officials",Biosecurity
Andrew Hoggard,8/6/2024,,"6:00 PM - 6:15
PM",MEET, Minister Simmonds,Wellington,"Minister Simmonds &
Officials","Associate
Agriculture"
Andrew Hoggard,9/18/2024,,"3:15 PM - 3:45
PM",MEET, Minister Simmonds,Wellington,"Minister Simmonds &
Officials","Associate
Environment"
Andrew Hoggard,4/18/2024,,"5:00 PM - 5:20
PM",MEET, Minister Stanford,Phone Call,Minister Stanford,"Associate
Agriculture"
Andrew Hoggard,4/10/2024,,"5:15 PM - 5:45
PM",MEET, Minister Watts,Parliament Buildings,"Minister Watts,
Officials & Advisors",Biosecurity
Andrew Hoggard,8/7/2024,,"5:15 PM - 5:45
PM",MEET, Minister Willis,Wellington,"Minister Willis &
Officials",Biosecurity
Andrew Hoggard,8/27/2024,,"6:00 PM - 7:00
PM",MEET, Ministerial Freshwater,Wellington,Ministers & Officials,"Associate
Environment"
Andrew Hoggard,6/27/2024,,"10:15 AM -
11:00 AM",MEET, Ministerial Group Meeting,Parliament Buildings,Multiple Ministers,Ministerial
Andrew Hoggard,9/26/2024,,"11:00 AM -
11:30 AM",MEET, Ministers Jones and Grigg with Horticulture NZ,Welington,"Ministers Jones, Grigg, Hort NZ & Officials",Associate Environment
Andrew Hoggard,8/6/2024,,5:30 PM - 6:00 PM,MEET, Ministers McClay and Simmonds,Wellington,Ministers McClay & Simmonds & Officials,Associate Environment
Andrew Hoggard,8/8/2024,,"3:00 PM - 3:45
PM",MEET," Ministers McClay, Potaka, Watts & Patterson",Wellington,Ministers & Officials,"Associate
Agriculture"
Andrew Hoggard,9/24/2024,,7:30 PM - 8:15 PM,MEET, Ministers Seymour & Simmonds,Wellington,Ministers Seymour & Simmonds & Officials,Food Safety
Andrew Hoggard,10/22/2024,,"7:30 PM - 8:30
PM",MEET, Ministers Seymour and Simmonds,Wellington,"Ministers Seymour &
Simmonds","Associate
Agriculture"
Andrew Hoggard,9/26/2024,,"9:00 AM -
10:00 AM",MEET, Ministers Upston and Patterson,Wellington,"Ministers Upston, Patterson & Officials",Associate Agriculture
Andrew Hoggard,4/18/2024,,1:00 PM - 1:15 PM,MEET," MoT Acting CE, DIA CEO, MPI CEO
and Hon Simeon Brown",Microsoft Teams Meeting,"David Wood, Paul James, Ray Smith,  and Hon Simeon Brown",Assoicate Agriculture
Andrew Hoggard,10/24/2024,,"10:00 AM -
10:30 AM",MEET, MPI & MFAT Officials,Wellington,Officials,Food Safety
Andrew Hoggard,8/15/2024,,"8:15 PM - 8:45
PM",MEET, Multi Ministers,Phone,Relevant Ministers,Food Safety
Andrew Hoggard,4/29/2024,,"5:15 PM - 6:00
PM",MEET, Multiple Ministers,Parliament Buildings,"Multiple Ministers &
Advisors","Associate
Agriculture"
Andrew Hoggard,6/26/2024,,"7:45 PM -  8:30
PM",MEET, Multiple Ministers,Parliament Buildings,Multiple Ministers,"Associate
Agriculture"
Andrew Hoggard,6/27/2024,,"11:30 AM -
12:00 PM",MEET," Natural Health Products NZ Government Affairs
Director & Capital GR Representative",Parliament Buildings,"Samantha Gray & Ben
Thomas",Food Safety
Andrew Hoggard,6/26/2024,,"3:15 PM -  3:45
PM",MEET, NAWAC Chair,Parliament Buildings,Mat Stone,"Associate
Agriculture"
Andrew Hoggard,7/5/2024,,"1:30 PM - 3:00
PM",MEET, Neil Aitken,Waipukurau,Neil Aitken,Biosecurity
Andrew Hoggard,6/21/2024,,"9:00 AM -
10:15 AM",MEET," Ngati Te Ata Representatives & Other Horticulture
Representatives",Pukekohe,"Ngati Te Ata
Representatives","Associate
Environment"
Andrew Hoggard,4/11/2024,,"11:30 AM -
12:00 PM",MEET," NZ Apples and Pears CEO, Biosecurity Manager & Board Chair",Parliament Buildings,"Karen Morrish, Rachel
Masters & Lesley Wilson",Associate Agriculture
Andrew Hoggard,4/10/2024,,"3:15 PM - 3:45
PM",MEET," NZ Beef + Lamb Chair & General Manager
Policy",Parliament Buildings,"Kate Acland & Dave
Harrison","Associate
Environment"
Andrew Hoggard,4/8/2024,,9:30 AM - 10:00 AM,MEET," NZ Beekeeping Inc President, Vice President &  Representatives",Parliament Buildings,Jane Lorimer & Cameron Martin,Biosecurity
Andrew Hoggard,9/26/2024,,3:30 PM - 4:00 PM,MEET, NZ Champions (Trust Executive Director),Wellington,"NZ Champions (Trust Executive Director) &
Officials",Food Safety
Andrew Hoggard,4/11/2024,,"4:15 PM - 4:45
PM",MEET, NZ Fieldays Society CEO,"L1 Library meeting
room; Room 013",Peter Nation,"Associate
Agriculture"
Andrew Hoggard,5/8/2024,,"11:30 AM -
12:00 PM",MEET, NZ Rodeo Cowboys Association,Parliament Buildings,"NZ Rodeo Cowboys
Association Representatives",Associate Agriculture
Andrew Hoggard,8/8/2024,,"10:30 AM -
11:00 AM",MEET," NZPork- Brent Kleiss (CE) & Dr Kirsty Chidgey
(Animal Welfare Science Advisor)",Wellington,"NZ Pork Attendees &
Officials","Associate
Agriculture"
Andrew Hoggard,5/9/2024,,"3:30 PM - 4:00
PM",MEET," Onside Intelligence CEO & Head of
Partnerships",Parliament Buildings,"Ryan Higgs & Ben
Brown",Biosecurity
Andrew Hoggard,10/23/2024,,"11:00 AM -
11:30 AM",MEET, Organics Aotearoa NZ & Minister Patterson,Wellington,"Tiffany Tompkins (CEO, OANZ) & Minister
Patterson",Food Safety
Andrew Hoggard,7/5/2024,,"8:30 AM -
10:00 AM",MEET, OSPRI - Simon Andrew and local staff,Hastings,Simon Andrew and Staff,Biosecurity
Andrew Hoggard,5/22/2024,,"10:30 AM -
11:00 AM",MEET, Pāmu Farms of NZ- CEO & Digital Officer,Parliament Buildings,"Tammy Lemire & Mark
Leslie","Associate
Environment"
Andrew Hoggard,6/20/2024,,8:15 AM -  8:45 AM,MEET, Parliamentary Commissioner for the Environment Representatives,Parliament Buildings,Simon Upton & Other Representatives,Associate Environment
Andrew Hoggard,5/20/2024,,5:00 PM - 5:30 PM,MEET," Parliamentary Commissioner for the Environment, Hon Penny Simmonds & Hon Mark
Patterson",Parliament Buildings,Simon Upton & Multiple Ministers,Associate Environment
Andrew Hoggard,5/6/2024,,"1:00 PM - 1:30
PM",MEET, PBB CEO,Parliament Buildings,Harry Faas,Biosecurity
Andrew Hoggard,10/10/2024,,"10:00 AM -
10:15 AM",MEET," Phone call with Councillor Kevin Malcolm, Otago
Regional Council",Phone,"Councillor Kevin
Malcolm","Associate
Environment"
Andrew Hoggard,8/5/2024,,"3:45 PM - 4:00
PM",MEET, Phone meeting with Assistant Minister Kearney,Wellington,"Assistant Minister
Kearney, Australia",Food Safety
Andrew Hoggard,9/12/2024,,"2:45 PM - 3:30
PM",MEET, Plant & Food Research,Palmerston North,Event Attendees,Ministerial
Andrew Hoggard,6/6/2024,,12:50 PM - 1:00 PM,MEET, Port of Tauranga,Mt Maunganui,Event Attendees,Biosecurity
Andrew Hoggard,6/6/2024,,1:00 PM -  3:00 PM,MEET, Port of Tauranga Acting CE & GM Property,Mt Maunganui,Simon Kebbell & Dan Kneebone,Biosecurity
Andrew Hoggard,6/7/2024,,"3:10 PM -  3:55
PM",MEET, Potatoes NZ Chief Executive,Tauranga,Kate Truffit,Biosecurity
Andrew Hoggard,5/27/2024,,"10:00 AM -
10:30 AM",MEET, Poultry Industry of NZ Executive Director,Parliament Buildings,Michael Brooks,Biosecurity
Andrew Hoggard,8/5/2024,,"9:30 AM -
10:00 AM",MEET, Predator Free NZ Trust- Jessi Morgan (CEO),Wellington,"Jessi Morgan, CEO &
Officiala",Biosecurity
Andrew Hoggard,5/9/2024,,"10:30 AM -
11:00 AM",MEET, QCONZ Representatives,Parliament Buildings,"Justin Moss & Josh
Wheeler","Associate
Environment"
Andrew Hoggard,6/24/2024,,"4:45 PM -  5:15
PM",MEET, QEII National Trust Chief Executive,Parliament Buildings,Dan Coup,"Associate
Environment"
Andrew Hoggard,5/22/2024,,"11:30 AM -
12:00 PM",MEET, Reconnecting Northland Representatives,Parliament Buildings,"Eamon Nathan & Chair
Liz Oliver","Associate
Environment"
Andrew Hoggard,4/29/2024,,2:00 PM - 2:45 PM,MEET, Representatives from Multiple Dairy Companies,Microsoft Teams Meeting,"Representatives from
Multiple Dairy Companies",Associate Environment
Andrew Hoggard,10/23/2024,,"4:45 PM - 5:15
PM",MEET," Richard Barge, Chair, NZIHA",Wellington,NZHIA Chair,Food Safety
Andrew Hoggard,5/2/2024,,11:30 AM - 12:00 PM,MEET, Richard McDowell,Parliament Buildings,Richard McDowell,Associate Environment
Andrew Hoggard,9/12/2024,,"10:30 AM -
11:00 AM",MEET, Rock On and Freyberg High School,Palmerston North,Event Attendees,Ministerial
Andrew Hoggard,7/22/2024,,"1:00 PM - 1:30
PM",MEET," SAFE- Debra Ashton (CEO) & Dr. John Hellstrom
(Former Chair of NAWAC)",Welklington,"Debra Ashnton and Dr
John Hellstrom","Associate
Agriculture"
Andrew Hoggard,8/28/2024,,"4:45 PM - 5:15
PM",MEET," Sam McIvor, Chief Executive, OSPRI",Wellington,Sam McIvor & Officials,Biosecurity
Andrew Hoggard,10/24/2024,,"11:00 AM -
11:30 AM",MEET," Samantha Gray, Natural Health Products NZ",Wellington,"Government Affairs
Director (NHPNZ)",Food Safety
Andrew Hoggard,6/26/2024,,"12:30 PM -
1:15 PM",MEET, Simon Court & Federated Farmers Representatives,Teams Meeting,"Simon Court &
Federated Farmers Representatives",Associate Environment
Andrew Hoggard,5/6/2024,,"2:00 PM - 2:20
PM",MEET, SNIBG Committee Members,Parliament Buildings,"SNIBG Committee
Members",Biosecurity
Andrew Hoggard,6/26/2024,,"11:40 AM -
12:10 PM",MEET, SPCA Representatives,Teams Meeting,SPCA Representatives,"Associate
Agriculture"
Andrew Hoggard,8/8/2024,,"9:30 AM -
10:00 AM",MEET," The Nature Conservancy- Erik Van Eyndhoven
(Director of Conservation) & Abbie Reynolds (Country Director)",Wellington,Nature Conservancy Attendees & Officials,Associate Environment
Andrew Hoggard,5/23/2024,,"11:30 AM -
12:00 PM",MEET, Thriving Southland Chair & Project Lead,Parliament Buildings,"Richard Kyte & Jeff
Grant","Associate
Environment"
